FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FF,-1,0,0,0,0,0,
FC,2,8,1,0,3,3,
FC,2,8,1,0,3,3,
FC,2,8,1,0,3,3,
FC,2,7,1,1,3,3,
FC,2,7,1,0,3,3,
FC,2,7,1,0,3,3,
FC,2,7,1,0,3,3,
FC,2,6,1,1,3,3,
FC,2,6,1,1,3,3,
FC,2,6,1,0,3,3,
FC,2,6,1,0,3,3,
FC,2,6,1,0,3,3,
FC,2,6,1,0,3,3,
FC,2,5,1,1,3,3,
FC,2,5,1,1,3,3,
FC,2,5,1,0,3,3,
FC,2,5,1,0,3,3,
FC,2,5,1,0,3,3,
FC,2,5,1,0,3,3,
FC,2,4,0,1,3,3,
FC,2,4,0,1,3,3,
FC,2,4,0,1,3,3,
FC,2,4,0,0,3,3,
FC,2,4,0,0,3,3,
FC,2,4,0,0,3,3,
FC,2,4,0,0,3,3,
FC,2,4,0,0,3,3,
FC,2,3,0,1,3,3,
FC,2,3,0,1,3,3,
FC,2,3,0,1,3,3,
FC,2,3,0,0,3,3,
FC,2,3,0,0,3,3,
FC,2,3,0,0,3,3,
FC,1,3,1,0,3,3,
FC,1,3,1,0,3,3,
FC,1,2,1,1,3,3,
FC,1,2,1,1,3,3,
FC,1,2,1,1,3,3,
FC,1,2,1,0,3,3,
FC,1,2,1,0,3,3,
FC,1,2,1,0,3,3,
FC,1,2,0,0,3,3,
FC,1,2,0,0,3,3,
FC,1,1,0,1,3,3,
FC,1,1,0,1,3,3,
FC,1,1,0,1,3,3,
FC,1,1,0,1,3,3,
FC,1,1,0,0,3,3,
FC,0,1,1,0,3,3,
FC,0,1,1,0,3,3,
FC,0,1,1,0,3,3,
FC,0,1,1,0,3,3,
FC,0,0,1,1,3,3,
FC,0,0,0,1,2,3,
FC,0,0,0,1,2,3,
FC,0,0,0,1,2,3,
FC,0,0,0,0,2,2,
FC,0,0,0,0,2,2,
FC,0,0,0,0,2,2,
FC,0,0,0,0,2,2,
FC,0,0,0,0,2,2,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
CC,-1,0,0,0,0,0,
